ID,林道名,関係市町村,証拠種別,証拠区分,資料名,URL,照合方法,照合信頼度,本文直接確認,確認属性,抜粋,確認日
NGN-000013,扇平南峠線,諏訪市,municipal-forest-plan,official,諏訪市森林整備計画書,https://www.city.suwa.lg.jp/uploaded/life/74090_150401_misc.pdf,市町村森林整備計画内の路線名一致,exact-municipality,はい,行政計画 | 関係市町村,"域面積前半5ケ年の計画箇所及び延長対図番号開設自動車道林道諏訪市棚嵐線3,300m106ha0m1/71拡張(改良)(法面保全)自動車道林道諏訪市赤ジッコ線1,000m10箇所197ha0m1/72拡張(改良)(局部改良)自動車道林道諏訪市扇平南峠線200m2箇所125ha200m1/73拡張(改良)(局部改良)自動車道林道諏訪市付上線60m2箇所68ha60m1/78拡張(舗装)自動車道林道諏訪市科ノ木線2,500m103ha0m1/74拡張(舗装)自動車道林道諏訪市日向入山線2,000m315ha0m1/75拡張(舗装)自動車道林道諏訪市上後2号線1,500",2026-07-16
NGN-000014,付上線,諏訪市,existing-official,official,諏訪市「諏訪市森林整備計画 変更計画書」,https://www.city.suwa.lg.jp/uploaded/life/74090_150401_misc.pdf,既存Lv0資料から継承,exact-municipality,はい,行政計画 | 関係市町村,,2026-07-16
NGN-000014,付上線,諏訪市,municipal-forest-plan,official,諏訪市森林整備計画書,https://www.city.suwa.lg.jp/uploaded/life/74090_150401_misc.pdf,市町村森林整備計画内の路線名一致,exact-municipality,はい,行政計画 | 関係市町村,"0m1/71拡張(改良)(法面保全)自動車道林道諏訪市赤ジッコ線1,000m10箇所197ha0m1/72拡張(改良)(局部改良)自動車道林道諏訪市扇平南峠線200m2箇所125ha200m1/73拡張(改良)(局部改良)自動車道林道諏訪市付上線60m2箇所68ha60m1/78拡張(舗装)自動車道林道諏訪市科ノ木線2,500m103ha0m1/74拡張(舗装)自動車道林道諏訪市日向入山線2,000m315ha0m1/75拡張(舗装)自動車道林道諏訪市上後2号線1,500m34ha0m1/76拡張(舗装)自動車道林道諏訪市扇平南峠線1,000m125ha1,",2026-07-16
NGN-000015,科ノ木線,諏訪市,existing-official,official,諏訪市「諏訪市森林整備計画 変更計画書」,https://www.city.suwa.lg.jp/uploaded/life/74090_150401_misc.pdf,既存Lv0資料から継承,exact-municipality,はい,行政計画 | 関係市町村,,2026-07-16
NGN-000015,科ノ木線,諏訪市,municipal-forest-plan,official,諏訪市森林整備計画書,https://www.city.suwa.lg.jp/uploaded/life/74090_150401_misc.pdf,市町村森林整備計画内の路線名一致,exact-municipality,はい,行政計画 | 関係市町村,"00m10箇所197ha0m1/72拡張(改良)(局部改良)自動車道林道諏訪市扇平南峠線200m2箇所125ha200m1/73拡張(改良)(局部改良)自動車道林道諏訪市付上線60m2箇所68ha60m1/78拡張(舗装)自動車道林道諏訪市科ノ木線2,500m103ha0m1/74拡張(舗装)自動車道林道諏訪市日向入山線2,000m315ha0m1/75拡張(舗装)自動車道林道諏訪市上後2号線1,500m34ha0m1/76拡張(舗装)自動車道林道諏訪市扇平南峠線1,000m125ha1,000m1/77ウ基幹路網の維持管理基幹路網の開設にあたっては、管理者を",2026-07-16
NGN-000016,日向入山線,諏訪市,existing-official,official,諏訪市「諏訪市森林整備計画 変更計画書」,https://www.city.suwa.lg.jp/uploaded/life/74090_150401_misc.pdf,既存Lv0資料から継承,exact-municipality,はい,行政計画 | 関係市町村,,2026-07-16
NGN-000016,日向入山線,諏訪市,municipal-forest-plan,official,諏訪市森林整備計画書,https://www.city.suwa.lg.jp/uploaded/life/74090_150401_misc.pdf,市町村森林整備計画内の路線名一致,exact-municipality,はい,行政計画 | 関係市町村,"諏訪市扇平南峠線200m2箇所125ha200m1/73拡張(改良)(局部改良)自動車道林道諏訪市付上線60m2箇所68ha60m1/78拡張(舗装)自動車道林道諏訪市科ノ木線2,500m103ha0m1/74拡張(舗装)自動車道林道諏訪市日向入山線2,000m315ha0m1/75拡張(舗装)自動車道林道諏訪市上後2号線1,500m34ha0m1/76拡張(舗装)自動車道林道諏訪市扇平南峠線1,000m125ha1,000m1/77ウ基幹路網の維持管理基幹路網の開設にあたっては、管理者を定め、林道台帳等を作成して管理することとします。なお、管理者は、毎年、すべ",2026-07-16
NGN-000017,上後２号線,諏訪市,existing-official,official,諏訪市「諏訪市森林整備計画 変更計画書」,https://www.city.suwa.lg.jp/uploaded/life/74090_150401_misc.pdf,既存Lv0資料から継承,exact-municipality,はい,行政計画 | 関係市町村,,2026-07-16
NGN-000017,上後２号線,諏訪市,municipal-forest-plan,official,諏訪市森林整備計画書,https://www.city.suwa.lg.jp/uploaded/life/74090_150401_misc.pdf,市町村森林整備計画内の路線名一致,exact-municipality,はい,行政計画 | 関係市町村,"改良)自動車道林道諏訪市付上線60m2箇所68ha60m1/78拡張(舗装)自動車道林道諏訪市科ノ木線2,500m103ha0m1/74拡張(舗装)自動車道林道諏訪市日向入山線2,000m315ha0m1/75拡張(舗装)自動車道林道諏訪市上後2号線1,500m34ha0m1/76拡張(舗装)自動車道林道諏訪市扇平南峠線1,000m125ha1,000m1/77ウ基幹路網の維持管理基幹路網の開設にあたっては、管理者を定め、林道台帳等を作成して管理することとします。なお、管理者は、毎年、すべての路線の点検を実施し、写真を撮影するなどして林道台帳等に記録します。また",2026-07-16
NGN-000018,鹿曲川線,佐久市,existing-official,official,長野県「農山漁村地域整備計画の変更（第2回）」,https://www.pref.nagano.lg.jp/ringyo/documents/2022_01keikaku.pdf,既存Lv0資料から継承,exact-municipality,はい,行政計画 | 関係市町村,,2026-07-16
NGN-000018,鹿曲川線,佐久市,municipal-forest-plan,official,佐久市森林整備計画 変更計画書,https://www.city.saku.nagano.jp/machizukuri/ringyo/seido_keikaku/shinrinseibi.files/sakusisinnrinnseibi8.4.1.pdf,市町村森林整備計画内の路線名一致,exact-municipality,はい,行政計画 | 関係市町村,"4498局部改良[9](480)法面保全田口十石峠田口十石峠線2,0001,32001004局部改良[7]法面保全広川原広川原線1,0003804989局部改良[2]法面保全本沢本沢線15059202058局部改良[12]幅員改良・法面保全鹿曲川鹿曲川線11,696876○02059局部改良[7]法面保全細小路川細小路川線15073304051局部改良[4]法面保全唐沢唐沢線500800○02061局部改良[2]法面保全蹄ケ沢蹄ケ沢線10011104158局部改良[2]法面保全添久保添久保線11031403071局部改良[1]岩下岩下線5019104054局部",2026-07-16
NGN-000018,鹿曲川線,佐久市,osm,osm,OpenStreetMap,https://www.openstreetmap.org/way/156544070,OSM名称付き道路候補と線形,discovery,はい,代表位置 | 路線形状 | 道路種別,,2026-07-16
NGN-000019,山口沢線,佐久市,existing-official,official,長野県「農山漁村地域整備計画の変更（第2回）」,https://www.pref.nagano.lg.jp/ringyo/documents/2022_01keikaku.pdf,既存Lv0資料から継承,exact-municipality,はい,行政計画 | 関係市町村,,2026-07-16
NGN-000019,山口沢線,佐久市,municipal-forest-plan,official,佐久市森林整備計画 変更計画書,https://www.city.saku.nagano.jp/machizukuri/ringyo/seido_keikaku/shinrinseibi.files/sakusisinnrinnseibi8.4.1.pdf,市町村森林整備計画内の路線名一致,exact-municipality,はい,行政計画 | 関係市町村,"良内山大沼線[5]600(158)○06003法面保全局部改良7[7]清川清川線1,00018203004局部改良[5]法面保全田口星尾線8008204116局部改良[3]法面保全田口沖ケ沢線30069○04804局部改良[5]法面保全田口山口沢線600177○04009橋梁改良[4]法面保全青沼荷通線40015704113局部改良[5]法面保全青沼赤谷線800102○03043局部改良[7](191)法面保全西山西山線1,0001,789○02013局部改良[3]三分小山沢線3005305292局部改良[3]田口恵下久保線5003104498局部改良[9](",2026-07-16
NGN-000019,山口沢線,佐久市,osm,osm,OpenStreetMap,https://www.openstreetmap.org/way/156413365,OSM名称付き道路候補と線形,discovery,はい,代表位置 | 路線形状 | 道路種別 | tracktype,,2026-07-16
NGN-000020,八ヶ岳線,南牧村,current-prefectural-plan,official,長野県『農山漁村地域整備計画（R7-R11）』,https://www.pref.nagano.lg.jp/ringyo/documents/sinkeikaku2025.pdf,林道名・市町村の完全一致,exact-municipality,はい,行政計画 | 関係市町村 | 整備種別 | 整備内容 | 工期,林道改良事業 | 林道改良事業（改良L=150ｍ） | R7～R10,2026-07-16
NGN-000020,八ヶ岳線,南牧村,existing-official,official,長野県「農山漁村地域整備計画の変更（第2回）」,https://www.pref.nagano.lg.jp/ringyo/documents/2022_01keikaku.pdf,既存Lv0資料から継承,exact-municipality,はい,行政計画 | 関係市町村,,2026-07-16
NGN-000020,八ヶ岳線,南牧村,osm,osm,OpenStreetMap,https://www.openstreetmap.org/way/142211512,OSM名称付き道路候補と線形,discovery,はい,代表位置 | 路線形状 | 道路種別,,2026-07-16
NGN-000021,横河山線,岡谷市,current-prefectural-plan,official,長野県『農山漁村地域整備計画（R7-R11）』,https://www.pref.nagano.lg.jp/ringyo/documents/sinkeikaku2025.pdf,林道名・市町村の完全一致,exact-municipality,はい,行政計画 | 関係市町村 | 整備種別 | 整備内容 | 工期,林道点検診断・保全整備事業 | 点検診断・保全整備（点検診断L=63m） | R7～R7,2026-07-16
NGN-000021,横河山線,岡谷市,existing-official,official,長野県「農山漁村地域整備計画の変更（第2回）」,https://www.pref.nagano.lg.jp/ringyo/documents/2022_01keikaku.pdf,既存Lv0資料から継承,exact-municipality,はい,行政計画 | 関係市町村,,2026-07-16
NGN-000021,横河山線,岡谷市,existing-official,official,長野県「農山漁村地域整備計画の変更（第2回）」,https://www.pref.nagano.lg.jp/ringyo/documents/nousangyosonchikiseibikeikakur2~r6.pdf,既存Lv0資料から継承,exact-municipality,はい,行政計画 | 関係市町村,,2026-07-16
NGN-000021,横河山線,岡谷市,osm,osm,OpenStreetMap,https://www.openstreetmap.org/way/142724564,OSM名称付き道路候補と線形,discovery,はい,代表位置 | 路線形状 | 道路種別,,2026-07-16
NGN-000021,横河山線,岡谷市,public-catalog,public-web,林道探索の書「横河山林道」,https://rindo-ktansaku.sakura.ne.jp/nagano-top/n-032/n-032.htm,掲載林道一覧の林道名・市町村完全一致,exact-municipality,はい,実走記録 | 路面 | 路線特性,A ○ 横河山林道 ピストン 長命水 「水源の森」ならではの美しい渓流コースが続く極上な快適フラットダートがここに！,2026-07-16
NGN-000022,砥沢線,下諏訪町,existing-official,official,長野県「農山漁村地域整備計画の変更（第2回）」,https://www.pref.nagano.lg.jp/ringyo/documents/2022_01keikaku.pdf,既存Lv0資料から継承,exact-municipality,はい,行政計画 | 関係市町村,,2026-07-16
NGN-000022,砥沢線,下諏訪町,existing-official,official,長野県「農山漁村地域整備計画の変更（第2回）」,https://www.pref.nagano.lg.jp/ringyo/documents/nousangyosonchikiseibikeikakur2~r6.pdf,既存Lv0資料から継承,exact-municipality,はい,行政計画 | 関係市町村,,2026-07-16
NGN-000023,南アルプス線,伊那市,current-prefectural-plan,official,長野県『農山漁村地域整備計画（R7-R11）』,https://www.pref.nagano.lg.jp/ringyo/documents/sinkeikaku2025.pdf,林道名・市町村の完全一致,exact-municipality,はい,行政計画 | 関係市町村 | 整備種別 | 整備内容 | 工期,林道改良事業 | 林道改良事業（改良L=151ｍ） | R7～R11,2026-07-16
NGN-000023,南アルプス線,伊那市,existing-official,official,長野県「農山漁村地域整備計画の変更（第2回）」,https://www.pref.nagano.lg.jp/ringyo/documents/2022_01keikaku.pdf,既存Lv0資料から継承,exact-municipality,はい,行政計画 | 関係市町村,,2026-07-16
NGN-000023,南アルプス線,伊那市,existing-official,official,長野県「農山漁村地域整備計画の変更（第2回）」,https://www.pref.nagano.lg.jp/ringyo/documents/henkou2.pdf,既存Lv0資料から継承,exact-municipality,はい,行政計画 | 関係市町村,,2026-07-16
NGN-000023,南アルプス線,伊那市,existing-official,official,長野県「農山漁村地域整備計画の変更（第2回）」,https://www.pref.nagano.lg.jp/ringyo/documents/keikaku01.pdf,既存Lv0資料から継承,exact-municipality,はい,行政計画 | 関係市町村,,2026-07-16
NGN-000023,南アルプス線,伊那市,existing-official,official,長野県「農山漁村地域整備計画の変更（第2回）」,https://www.pref.nagano.lg.jp/ringyo/documents/kyukeikaku.pdf,既存Lv0資料から継承,exact-municipality,はい,行政計画 | 関係市町村,,2026-07-16
NGN-000023,南アルプス線,伊那市,osm,osm,OpenStreetMap,https://www.openstreetmap.org/way/145479001,OSM名称付き道路候補と線形,discovery,はい,代表位置 | 路線形状 | 道路種別 | tracktype,,2026-07-16
NGN-000024,日影入線,伊那市,current-prefectural-plan,official,長野県『農山漁村地域整備計画（R7-R11）』,https://www.pref.nagano.lg.jp/ringyo/documents/sinkeikaku2025.pdf,林道名・市町村の完全一致,exact-municipality,はい,行政計画 | 関係市町村 | 整備種別 | 整備内容 | 工期,林道改良事業 | 林道改良事業（改良L=32ｍ） | R7～R10,2026-07-16
NGN-000024,日影入線,伊那市,existing-official,official,長野県「農山漁村地域整備計画の変更（第2回）」,https://www.pref.nagano.lg.jp/ringyo/documents/2022_01keikaku.pdf,既存Lv0資料から継承,exact-municipality,はい,行政計画 | 関係市町村,,2026-07-16
NGN-000024,日影入線,伊那市,existing-official,official,長野県「農山漁村地域整備計画の変更（第2回）」,https://www.pref.nagano.lg.jp/ringyo/documents/nousangyosonchikiseibikeikakur2~r6.pdf,既存Lv0資料から継承,exact-municipality,はい,行政計画 | 関係市町村,,2026-07-16
NGN-000025,千代田湖枯木線,伊那市,existing-official,official,長野県「農山漁村地域整備計画の変更（第2回）」,https://www.pref.nagano.lg.jp/ringyo/documents/2022_01keikaku.pdf,既存Lv0資料から継承,exact-municipality,はい,行政計画 | 関係市町村,,2026-07-16
NGN-000025,千代田湖枯木線,伊那市,existing-official,official,長野県「農山漁村地域整備計画の変更（第2回）」,https://www.pref.nagano.lg.jp/ringyo/documents/henkou2.pdf,既存Lv0資料から継承,exact-municipality,はい,行政計画 | 関係市町村,,2026-07-16
NGN-000025,千代田湖枯木線,伊那市,existing-official,official,長野県「農山漁村地域整備計画の変更（第2回）」,https://www.pref.nagano.lg.jp/ringyo/documents/keikaku01.pdf,既存Lv0資料から継承,exact-municipality,はい,行政計画 | 関係市町村,,2026-07-16
NGN-000025,千代田湖枯木線,伊那市,existing-official,official,長野県「農山漁村地域整備計画の変更（第2回）」,https://www.pref.nagano.lg.jp/ringyo/documents/kyukeikaku.pdf,既存Lv0資料から継承,exact-municipality,はい,行政計画 | 関係市町村,,2026-07-16
NGN-000026,古城線,駒ヶ根市,current-prefectural-plan,official,長野県『農山漁村地域整備計画（R7-R11）』,https://www.pref.nagano.lg.jp/ringyo/documents/sinkeikaku2025.pdf,林道名・市町村の完全一致,exact-municipality,はい,行政計画 | 関係市町村 | 整備種別 | 整備内容 | 工期,林道改良事業 | 林道改良事業（改良L=150ｍ） | R7～R11,2026-07-16
NGN-000026,古城線,駒ヶ根市,existing-official,official,長野県「農山漁村地域整備計画の変更（第2回）」,https://www.pref.nagano.lg.jp/ringyo/documents/2022_01keikaku.pdf,既存Lv0資料から継承,exact-municipality,はい,行政計画 | 関係市町村,,2026-07-16
